suburb,address,sale_date,sale_price,source_url,listing_url,retrieved_on,collection_method,original_property_type,displayed_area_sqm,displayed_area_definition,detail_price_date_matched,manual_review_completed,notes
Blacktown,94 Lancelot Street,2026-08-18,950000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151814988,2026-09-17,AI-assisted extraction of public web pages,House,562.7,unlabelled result-card area,true,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,5 Ajax Place,2026-08-17,1000000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151708676,2026-09-17,AI-assisted extraction of public web pages,House,,,true,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,41 Anthony Street,2026-08-17,910000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151862164,2026-09-17,AI-assisted extraction of public web pages,House,,,true,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,49/8-18 Wallace Street,2026-08-17,465000,https://www.realestate.com.au/sold/in-blacktown/list-1,,2026-09-17,AI-assisted extraction of public web pages,Apartment,,,false,True,"Unlisted parking is missing, not zero. Strata land may be shared site area. Manually reviewed against the recorded source by the student."
Blacktown,36/130 Main Street,2026-08-17,443000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-apartment-nsw-blacktown-150091800,2026-09-17,AI-assisted extraction of public web pages,Apartment,,,true,True,"Unlisted parking is missing, not zero. Strata land may be shared site area. Manually reviewed against the recorded source by the student."
Blacktown,45 & 45a Dina Beth Avenue,2026-08-14,1250000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151561636,2026-09-17,AI-assisted extraction of public web pages,House,,,true,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,2/31 Third Avenue,2026-08-13,380000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-unit-nsw-blacktown-151722016,2026-09-17,AI-assisted extraction of public web pages,Unit,,,true,True,"Unlisted parking is missing, not zero. Strata land may be shared site area. Manually reviewed against the recorded source by the student."
Blacktown,24/45 Bungarribee Road,2026-08-12,750000,https://www.realestate.com.au/sold/in-blacktown/list-1,,2026-09-17,AI-assisted extraction of public web pages,Townhouse,,,false,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,12 Glamorgan Street,2026-08-11,1030000,https://www.realestate.com.au/sold/in-blacktown/list-1,,2026-09-17,AI-assisted extraction of public web pages,House,556,unlabelled result-card area,false,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
Blacktown,41 Burrell Parade,2026-08-11,960000,https://www.realestate.com.au/sold/in-blacktown/list-1,https://www.realestate.com.au/sold/property-house-nsw-blacktown-151589056,2026-09-17,AI-assisted extraction of public web pages,House,556,unlabelled result-card area,true,True,"Unlisted parking is missing, not zero. Manually reviewed against the recorded source by the student."
