property_id,suburb,address,sale_date,sale_price,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,building_size_sqm,sale_year,sale_month,sale_quarter,days_since_first_sale,total_rooms_basic,bathrooms_per_bedroom,has_parking,car_spaces_missing,land_size_sqm_missing,building_size_sqm_missing,property_latitude,property_longitude,distance_to_sydney_gpo_km,distance_to_nearest_train_station_km,distance_to_nearest_bus_route_m,regular_bus_routes_within_250m,regular_bus_routes_within_500m,regular_bus_routes_within_1km
SYD-001,Blacktown,94 Lancelot Street,2026-08-18,950000,House,3,1,1.0,562.7,102.0,2026,8,3,332,4,0.3333333333333333,1,0,0,0,-33.7893164814816,150.90837546941674,28.992,2.259,27.6,1,1,6
SYD-002,Blacktown,5 Ajax Place,2026-08-17,1000000,House,3,2,2.0,594.0,94.0,2026,8,3,331,5,0.6666666666666666,1,0,0,0,-33.75160689198096,150.9265570648029,29.009,2.484,360.4,0,1,11
SYD-003,Blacktown,41 Anthony Street,2026-08-17,910000,House,3,1,1.0,682.9,106.0,2026,8,3,331,4,0.3333333333333333,1,0,0,0,-33.7501714630054,150.92147835173782,29.501,2.006,126.6,1,9,11
SYD-004,Blacktown,49/8-18 Wallace Street,2026-08-17,465000,Unit,2,2,3.0,,94.0,2026,8,3,331,4,1.0,1,0,1,0,-33.76854952193661,150.91308733160895,29.368,0.476,48.5,14,33,33
SYD-005,Blacktown,36/130 Main Street,2026-08-17,443000,Unit,2,2,1.0,,76.0,2026,8,3,331,4,1.0,1,0,1,0,-33.771957071285655,150.9110734659816,29.401,0.482,20.3,10,33,33
SYD-006,Blacktown,45 & 45a Dina Beth Avenue,2026-08-14,1250000,House,5,2,4.0,613.0,218.0,2026,8,3,328,7,0.4,1,0,0,0,-33.773203942946346,150.8859799250597,31.526,1.851,151.6,2,2,6
SYD-007,Blacktown,2/31 Third Avenue,2026-08-13,380000,Unit,1,1,1.0,,58.0,2026,8,3,327,2,1.0,1,0,1,0,-33.76481995057763,150.90934636703165,29.846,0.348,36.4,4,33,33
SYD-008,Blacktown,24/45 Bungarribee Road,2026-08-12,750000,Townhouse,3,2,1.0,,91.0,2026,8,3,326,5,0.6666666666666666,1,0,1,0,-33.7776331798198,150.91839069993551,28.543,1.407,104.2,9,10,11
SYD-009,Blacktown,12 Glamorgan Street,2026-08-11,1030000,House,3,1,1.0,556.0,,2026,8,3,325,4,0.3333333333333333,1,0,0,1,-33.78566129322691,150.90953119533094,29.017,1.864,159.7,1,1,7
SYD-010,Blacktown,41 Burrell Parade,2026-08-11,960000,House,3,1,2.0,556.0,100.0,2026,8,3,325,4,0.3333333333333333,1,0,0,0,-33.77823692178655,150.88589670347133,31.35,2.202,24.6,1,2,5
SYD-011,Blacktown,307/11-13 Clifton Street,2026-08-11,575000,Unit,2,2,1.0,,,2026,8,3,325,4,1.0,1,0,1,1,-33.76825277834968,150.91550993678672,29.173,0.694,77.7,1,14,33
SYD-012,Blacktown,9/8-18 Wallace Street,2026-08-11,491000,Unit,2,2,1.0,,94.0,2026,8,3,325,4,1.0,1,0,1,0,-33.76854952193661,150.91308733160895,29.368,0.476,48.5,14,33,33
SYD-013,Blacktown,24 Twilight Crescent,2026-08-10,1024000,House,3,2,2.0,177.0,131.0,2026,8,3,324,5,0.6666666666666666,1,0,0,0,-33.755238684248404,150.90117232899755,30.961,1.006,415.8,0,3,7
SYD-014,Blacktown,57 Walters Road,2026-08-08,1221000,House,3,1,1.0,835.0,,2026,8,3,322,4,0.3333333333333333,1,0,0,1,-33.776356072655275,150.89554885695273,30.575,1.335,33.6,1,5,15
SYD-015,Blacktown,59 Walters Road,2026-08-08,900000,House,3,1,1.0,562.8,109.0,2026,8,3,322,4,0.3333333333333333,1,0,0,0,-33.77649784695962,150.89546136850998,30.577,1.351,28.4,1,5,15
SYD-016,Blacktown,29/17-19 Third Avenue,2026-08-07,455000,Unit,2,1,1.0,,,2026,8,3,321,3,0.5,1,0,1,1,-33.76516199811842,150.9108052637063,29.707,0.388,29.2,14,33,33
SYD-017,Blacktown,12 Siebel Street,2026-08-05,1080000,House,5,2,1.0,560.0,,2026,8,3,319,7,0.4,1,0,0,1,-33.75854234107169,150.88903202571817,31.848,1.706,214.7,1,5,7
SYD-018,Blacktown,4/313 Flushcombe Road,2026-08-05,920000,Townhouse,3,2,2.0,236.0,121.0,2026,8,3,319,5,0.6666666666666666,1,0,0,0,-33.79446024614802,150.90424010765668,29.191,2.839,46.0,1,1,3
SYD-019,Blacktown,61/7 Griffiths Street,2026-08-05,410000,Unit,2,1,1.0,,84.0,2026,8,3,319,3,0.5,1,0,1,0,-33.773036137244695,150.9162157246994,28.914,0.94,110.3,10,10,33
SYD-020,Blacktown,5 Aliberti Drive,2026-08-03,1060000,House,3,2,1.0,441.5,,2026,8,3,317,5,0.6666666666666666,1,0,0,1,-33.78229080097032,150.88774794457737,31.046,2.31,144.8,2,2,3
SYD-021,Blacktown,12/15 DEVITT STREET,2026-08-03,465000,Unit,2,1,1.0,,63.0,2026,8,3,317,3,0.5,1,0,1,0,-33.77089544923128,150.91501393289306,29.105,0.734,250.8,0,22,33
SYD-022,Blacktown,34/25 Mantaka Street,2026-08-03,432000,Unit,2,1,1.0,,61.0,2026,8,3,317,3,0.5,1,0,1,0,-33.77427864344723,150.91753146661682,28.751,1.115,36.2,9,10,23
SYD-023,Blacktown,59 Lancaster Street,2026-07-31,900000,House,3,2,3.0,600.7,,2026,7,3,314,5,0.6666666666666666,1,0,0,1,-33.77513409396646,150.89173106210467,30.953,1.565,28.8,1,5,7
SYD-024,Blacktown,68 Eggleton Street,2026-07-30,900000,House,3,1,2.0,600.0,,2026,7,3,313,4,0.3333333333333333,1,0,0,1,-33.751359755058175,150.9243284222198,29.206,2.293,159.6,1,1,12
SYD-025,Blacktown,53 Pelleas Street,2026-07-29,1700000,House,7,4,2.0,584.0,253.0,2026,7,3,312,11,0.5714285714285714,1,0,0,0,-33.7897243873819,150.9135043090568,28.527,2.378,64.8,1,1,4
SYD-026,Blacktown,42 Burke Street,2026-09-11,1260000,House,5,3,6.0,626.0,,2026,9,3,356,8,0.6,1,0,0,1,-33.78381431897526,150.89533728910175,30.327,1.965,67.9,1,2,5
SYD-027,Blacktown,52 Balmoral Street,2026-09-08,1300000,House,4,1,1.0,696.77,99.0,2026,9,3,353,5,0.25,1,0,0,0,-33.7741949646959,150.90276957573627,30.029,0.694,33.0,7,14,33
SYD-028,Blacktown,9 Kirkman Road,2026-09-03,1070000,House,4,1,2.0,638.0,,2026,9,3,348,5,0.25,1,0,0,1,-33.7739012688621,150.90094466183888,30.199,0.778,123.6,7,15,33
SYD-029,Blacktown,17 Carinya Street,2026-09-01,1600000,House,3,1,1.0,1182.4,116.0,2026,9,3,346,4,0.3333333333333333,1,0,0,0,-33.770579029708706,150.9016115819352,30.272,0.526,184.0,7,16,33
SYD-030,Blacktown,38-38A Burrell Parade,2026-08-28,1480000,House,5,3,4.0,563.0,,2026,8,3,342,8,0.6,1,0,0,1,-33.778541006872935,150.88474095962917,31.44,2.157,24.2,1,2,5
SYD-031,Blacktown,39 Burke Street,2026-08-26,1500000,House,5,3,2.0,604.0,285.0,2026,8,3,340,8,0.6,1,0,0,0,-33.78342173251642,150.89614132223292,30.27,1.888,123.6,1,2,4
SYD-032,Blacktown,19 Stephen Street,2026-08-26,1062500,House,3,1,1.0,575.4,,2026,8,3,340,4,0.3333333333333333,1,0,0,1,-33.755652022320454,150.9168598583591,29.622,1.575,169.5,9,9,12
SYD-033,Blacktown,130 Bungarribee Road,2026-08-24,1150000,House,3,1,1.0,670.0,,2026,8,3,338,4,0.3333333333333333,1,0,0,1,-33.77751173582162,150.9060609698352,29.617,0.947,33.5,2,14,17
SYD-034,Blacktown,36 Bedford Road,2026-08-24,1007500,House,3,2,4.0,651.0,,2026,8,3,338,5,0.6666666666666666,1,0,0,1,-33.758902666167266,150.91585437771013,29.555,1.223,134.2,9,10,14
